logFC	logCPM	F	PValue	FDR	Nhood	SpatialFDR	seurat_clusters	seurat_clusters_fraction
1	1.51669574182022	6.38076062881918	18.237357909991	0.000150556441671172	0.000361092627040376	1	0.000354312096517787	Mixed	0.381294964028777
2	-2.36147532915279	6.89748838257548	57.4655649890792	8.91265782180663e-09	4.10858526426861e-08	2	3.60727364950766e-08	7	0.860520094562648
3	-1.02851064097144	6.90700881642936	13.8196226068039	0.000729618527025401	0.00156428408811687	3	0.00154876471121816	19	1
4	-0.728550919902996	6.88934948128164	6.94525380849406	0.0126148843665338	0.0216537485770531	4	0.0215937371521709	4	0.818396226415094
5	2.24122938157921	6.89107359416639	36.1028038686645	9.34537009325746e-07	3.13793410647474e-06	5	2.95130426117704e-06	3	0.729166666666667
6	0.542003102495959	6.86882627071339	2.86789104115341	0.0996174170337854	0.140029398231556	6	0.139679297201251	10	1
7	0.329169718178828	6.96285334788859	1.47670459259604	0.232749215992353	0.296389355182824	7	0.295603280867754	10	1
8	6.13525238247614	6.62691033981233	103.426704124903	8.51042218151481e-12	8.24391265479515e-11	8	6.25507377667714e-11	31	0.770348837209302
9	-9.21552305956498	6.74940765595534	176.776600672711	6.98761157560567e-14	2.10823330117332e-12	9	1.5268310903625e-12	16	1
10	-1.20900551728456	6.53818481052209	10.1747182972224	0.00311236532669586	0.00598496410226809	10	0.00596072775670352	28	0.805732484076433
11	0.304265900125791	7.4815994911909	0.927409815399148	0.34240721185173	0.413518583149397	11	0.412716081028562	0	1
12	0.0553826791490904	6.90665371030381	0.0388575106768573	0.844917152235896	0.877981694881047	12	0.87813866917793	0	0.932203389830508
13	0.595536158146465	6.7855422655218	3.95563727095328	0.0548961629452961	0.0821469465350183	13	0.0819706843188266	Mixed	0.697368421052632
14	-1.86050837726086	6.40509884154596	22.008912418081	4.55106767463746e-05	0.000119656639114174	14	0.000116705553356511	Mixed	0.661016949152542
15	2.36282266910357	6.64193283523398	43.7098278178909	1.60123234451084e-07	6.00404447911144e-07	15	5.52602248108098e-07	33	0.996904024767802
16	0.585683269108513	7.01781630364152	3.45692281257808	0.0719079896651765	0.104683953066409	16	0.104420402297363	11	1
17	5.39794126341001	6.55751471091177	141.60740231545	1.32058797833876e-13	3.21168230526359e-12	17	2.32666497893448e-12	35	1
18	2.0797067620026	6.46591063629962	20.8541716008787	6.55358895469702e-05	0.00016773126980438	18	0.000163647814654342	Mixed	0.580985915492958
19	-1.84877140943881	6.97007340134792	26.4129439071289	1.2177664421084e-05	3.48809325699129e-05	19	3.36291100193398e-05	8	1
20	-1.99387360044363	6.20223432774299	27.1809659027711	9.58153737154387e-06	2.79211149217246e-05	20	2.68377340230616e-05	8	0.918032786885246
21	-0.463786738074971	7.18041129040865	2.28107365188943	0.140296063261193	0.190099156793252	21	0.189623223891839	0	1
22	-1.09669034182565	6.80901002620064	14.2455784739297	0.000622098743152599	0.00135134384073603	22	0.00133681176917843	Mixed	0.5935960591133
23	-0.401357507855105	6.74437001910372	1.68464778247902	0.203154312038295	0.263276050050624	23	0.26266968073069	2	0.901098901098901
24	1.95516074955468	5.73396508464578	17.0562308718955	0.000226060498259722	0.000525824296398983	24	0.000517390664240139	Mixed	0.623456790123457
