logFC	logCPM	F	PValue	FDR	Nhood	SpatialFDR	seurat_clusters	seurat_clusters_fraction
1	-1.26154956017495	6.44816406092758	8.30590053871211	0.00600509427769465	0.0140570771713098	1	0.013474077102652	0	0.953333333333333
2	-2.23328002057141	7.19060270317547	33.0327494735416	9.42282249973345e-07	5.95360379158893e-06	2	4.58285689779075e-06	16	1
3	0.711766759809151	6.60394144132792	3.40864859814216	0.0713479095849351	0.11962420777939	3	0.118037221509599	11	1
4	2.123859012035	6.94082555273572	21.2878528431972	3.21290493202851e-05	0.000136522008692452	4	0.000116312878017593	12	1
5	-1.52736614729604	6.38148346862333	10.8487400620249	0.00191561617228522	0.00514954875202505	5	0.00482158193335141	Mixed	0.51063829787234
6	1.89576165498556	6.7852480746966	16.1927896512528	0.000213201678396616	0.000729608584136477	6	0.000650469683107684	0	0.990243902439024
7	0.336376395286102	6.58078074360848	0.567347444455836	0.455183747447653	0.548459105531188	7	0.546800952046882	1	0.777777777777778
8	0.885983593165917	7.21252768008374	5.83817779742339	0.0197425058705378	0.0396591801893368	8	0.0386019261740893	4	1
9	0.495192811660964	7.09708091557294	1.12609139327405	0.2941950515964	0.387093489031157	9	0.385763416667424	12	1
10	-0.682047450322809	6.72295583415707	3.39586469735746	0.0718621325052321	0.120284656209752	10	0.118685979616638	1	1
11	0.673695408127301	6.90137266603264	2.76319465593505	0.103310919172815	0.163520472175807	11	0.162222187600589	0	0.895454545454546
12	0.515798196060515	6.46229422506301	1.3906242405623	0.244411876503295	0.332360084523743	12	0.331416800173501	38	1
13	0.81914104906344	7.47073711107857	2.83827858766123	0.0988715586573771	0.157416425923789	13	0.15601589802892	3	0.822033898305085
14	0.244241172651193	6.4213839847188	0.189890236875662	0.665062558222423	0.736350999280871	14	0.735047720150989	18	1
15	-0.624899282004116	6.71851548850468	2.37197149902377	0.130437666297675	0.197983612431695	15	0.196884923353139	0	0.974226804123711
16	0.995473177518674	6.42487865304743	3.01727383095831	0.0891286295851832	0.14425794778714	16	0.142801256800279	33	0.962962962962963
17	-0.562749833789309	6.58146384591475	1.84936416262838	0.180538945340392	0.259095251141618	17	0.258266116065553	18	0.994117647058824
18	0.765643611646983	7.16466695087773	4.47676281061775	0.0398473551897447	0.072474132469617	18	0.0711349047978332	9	0.99618320610687
19	1.08687914194477	6.82756710984816	6.4603292516052	0.0144940769825887	0.0303497504505594	19	0.0294460574758943	Mixed	0.616915422885572
20	-5.27350523940629	6.51629825090621	72.1880013008337	1.23243545522925e-10	3.33990135746548e-09	20	2.12777304850194e-09	40	1
21	2.70842704596745	6.35433169246641	13.7520580453402	0.000563725602372824	0.00173418421731274	21	0.00158787637651621	26	1
22	0.395809695109419	6.91278380208989	0.876042193881295	0.354215288142841	0.448729370699555	22	0.447287253898916	0	0.995594713656388
23	7.01024337989983	6.76600562898573	77.4737543945164	3.85549150211017e-11	1.47282311888176e-09	23	9.19025583629527e-10	31	1
24	4.97453875527618	7.23508678708676	49.68174184347	8.0337270074704e-09	9.32956717377537e-08	24	6.57901062821473e-08	5	1
25	0.497229957905085	6.50922906914617	1.33473011712562	0.25397939621365	0.342920907828057	25	0.342045366408777	Mixed	0.694267515923567
26	0.374544324389398	6.55807979565789	0.599327212029408	0.442827620133093	0.536633324909277	26	0.535265186167133	30	0.987012987012987
27	2.23783439680483	7.20891720649606	17.8004976867551	0.000115157874517151	0.000424010271644793	27	0.000372650785676347	5	0.965909090909091
28	-0.38219356988814	7.11636297993068	0.924176336011082	0.341447535372832	0.435404658865125	28	0.434029027192848	11	1
29	0.987953705115909	6.47069446709502	4.13309367311352	0.0478940513692059	0.084696006146003	29	0.0833878882374948	23	0.89873417721519
30	0.702629402562975	7.00967249936913	2.23887573615728	0.141463931420305	0.212227603738315	30	0.211117508488345	12	0.814814814814815
31	6.60429508391602	6.61847429237411	47.8103950762168	1.78700125826594e-08	1.85124403320628e-07	31	1.32383092213898e-07	Mixed	0.562130177514793
32	-0.985750963385013	6.50909737555875	4.32908505484046	0.0431086875631168	0.0776397625109298	32	0.0763047778480809	4	0.729559748427673
33	-0.970399995110974	6.11191145775335	3.96382006632318	0.0524960176600466	0.0915919851391408	33	0.090267466321403	Mixed	0.544642857142857
34	0.462406487897118	7.07182654493582	1.52764509891791	0.222791153391693	0.307715706985934	34	0.306695369392972	Mixed	0.604651162790698
35	0.0555114954601419	6.91926007761572	0.0247286240298695	0.875738934187797	0.909005742109661	35	0.90959800732779	0	1
36	-0.809868056204733	6.60118658312312	3.77547083656435	0.0581936527440977	0.100267490996618	36	0.0988432514925473	2	0.852941176470588
37	0.00386676712589042	6.82714198447712	9.80740055292967e-05	0.992141664450776	0.995226841951012	37	0.994914711365955	38	0.866336633663366
38	0.99322986172551	6.68954256180368	3.93422052793939	0.0533493737469339	0.0928854988490471	38	0.0915359948991217	11	1
39	1.25767371683775	6.69078778935959	10.2217463639297	0.00252187912913488	0.00654302554214551	39	0.00616809580245018	38	1
40	2.73096744582267	6.87370287675521	47.7017863561815	1.30880127549041e-08	1.41172886888111e-07	40	1.0054238638313e-07	20	1
41	-1.37177118209876	6.86436587013953	10.5505748977823	0.00218208627408654	0.00578883993229689	41	0.0054308526003331	Mixed	0.646288209606987
42	4.97594752741839	6.54801513130222	35.81430053021	3.13953023774724e-07	2.27161150473263e-06	42	1.70921494460837e-06	14	1
43	1.41612447221589	6.90740213809744	12.7150696843593	0.000864858645824976	0.00253562318958986	43	0.00234117064327719	11	1
