logFC	logCPM	F	PValue	FDR	Nhood	SpatialFDR	seurat_clusters	seurat_clusters_fraction
1	0.71894508356241	6.38076062881918	4.89098731004721	0.0338945646086827	0.0639261683297297	1	0.062455812832477	Mixed	0.381294964028777
2	-1.11741716171319	6.89748838257548	11.1979066397795	0.00202446779966786	0.00577175714235627	2	0.00560595576415767	7	0.860520094562648
3	-0.105530438433171	6.90700881642936	0.130217335236718	0.720462584686102	0.789233323931555	3	0.786760916982614	19	1
4	-1.21920540563696	6.88934948128164	21.1338826861344	5.79588962658549e-05	0.000262415898752189	4	0.000252215296243467	4	0.818396226415094
5	1.7202370576208	6.89107359416639	24.3625393633367	2.21936591368877e-05	0.000112799706033137	5	0.000107960452542475	3	0.729166666666667
6	0.0208747488039623	6.86882627071339	0.00476879994618465	0.945354058614612	0.961331613532581	6	0.96028432931203	10	1
7	0.664756059426706	6.96285334788859	5.85595490583776	0.0210798948848599	0.0429058713055352	7	0.0419319691520309	10	1
8	0.0350226648517429	6.62691033981233	0.0146177080730403	0.90448641962542	0.930132300126555	8	0.929057211611949	31	0.770348837209302
9	-6.77377385981423	6.74940765595534	54.7638247289865	3.69236498560523e-08	4.06515655655393e-07	9	3.62427621248079e-07	16	1
10	0.298530677352714	6.53818481052209	0.51356481472008	0.478632651013233	0.574105469508728	10	0.569619619130544	28	0.805732484076433
11	-0.016246282920235	7.4815994911909	0.00277694547595514	0.958285167496475	0.969615644161584	11	0.968706804277283	0	1
12	0.635889857970646	6.90665371030381	4.74871199052614	0.0364193675158254	0.0680161383559268	12	0.0664637993824898	0	0.932203389830508
13	-0.0854306306229949	6.7855422655218	0.0933871792425278	0.761797084025519	0.821118965270957	13	0.819470945093287	Mixed	0.697368421052632
14	-1.1254204775851	6.40509884154596	7.3903626913406	0.0103628798147195	0.0235261103579968	14	0.022910293806398	Mixed	0.661016949152542
15	4.95558244322164	6.64193283523398	112.022155656872	3.75563177463713e-12	3.25769759518315e-10	15	3.29800574633682e-10	33	0.996904024767802
16	2.48082942081696	7.01781630364152	45.9460122659617	9.86645158646806e-08	9.47416001508728e-07	16	8.54099583175789e-07	11	1
17	3.30994974484871	6.55751471091177	91.8513607468852	3.80810870429737e-11	1.61132534565168e-09	17	1.55227502448512e-09	35	1
18	1.58947223116274	6.46591063629962	13.8780187464718	0.000727097612820495	0.00238749496903739	18	0.00231014735037404	Mixed	0.580985915492958
19	-0.614375094412569	6.97007340134792	2.56087223820276	0.119053275161488	0.184652830945589	19	0.181696747451762	8	1
20	-0.315271113016387	6.20223432774299	0.549862122453331	0.463569985163554	0.559909488926367	20	0.555439604514878	8	0.918032786885246
21	-0.605421197276604	7.18041129040865	3.98753975118591	0.0539786700411866	0.0951426572062357	21	0.093093559680305	0	1
22	-1.21080470386979	6.80901002620064	18.0705793915546	0.00015934909842246	0.000630910903567663	22	0.000610820302852427	Mixed	0.5935960591133
23	0.157223066078868	6.74437001910372	0.243492737399904	0.624907241534262	0.708414231880868	23	0.705240938513992	2	0.901098901098901
24	1.03041905170587	5.73396508464578	5.94536930227442	0.0201927072515975	0.0413996237506161	24	0.0404575955419744	Mixed	0.623456790123457
25	3.35706335883489	6.8614439128885	79.7953253134866	2.486263097815e-10	6.31207624028202e-09	25	5.66604521929477e-09	14	1
26	-1.0709621516502	7.04587538568477	10.8577215809066	0.00232517063389437	0.00649562563827336	26	0.00630150518435959	2	0.701646090534979
27	-4.32155721461954	7.44500696063167	31.9590268789649	2.6659891509713e-06	1.70665935254983e-05	27	1.59741663298233e-05	13	1
28	-0.31287431072046	6.79011359873536	0.866007229619308	0.358809750089908	0.457478036340746	28	0.452748540989667	Mixed	0.608465608465608
29	-5.91426351408509	7.05012990402697	114.16264944467	2.41365467957983e-12	2.57508182519979e-10	29	2.65911878943454e-10	Mixed	0.568788501026694
30	-0.740822547083881	7.35039437731178	5.86813856887349	0.0209565506145933	0.0426882065258907	30	0.0417086681052913	2	0.836700336700337
31	-1.1918377459235	7.14565351048774	18.6088481482001	0.000132772949699959	0.000538189674585791	31	0.000520985849539028	4	0.998073217726397
32	0.577452067409558	6.8881070307167	3.86264830410275	0.057670788872775	0.100602520760301	32	0.098492266601274	29	1
33	0.386791955925073	6.91373739970636	1.60527830825779	0.213856558370452	0.300420215863221	33	0.296997823382517	9	0.973429951690821
34	-0.285595992957711	6.66824560373538	0.880169047741663	0.354841350800563	0.453640827865766	34	0.448980831987929	1	0.835654596100279
35	-3.58448722755341	6.66186011222168	59.9579106505923	6.33472893994752e-09	8.88654899405846e-08	35	7.83301774073001e-08	13	1
36	-1.82556443727675	6.66495806016237	20.3580026692491	7.68549223665195e-05	0.000333232670651881	36	0.000321415784156284	8	1
37	-1.31534329546895	7.35963495198445	19.230269093692	0.000107833619162971	0.000449875808363675	37	0.000435145258475311	4	1
38	-0.0849125430641108	6.62472528437076	0.0465702615166196	0.83046860133979	0.873960941395802	38	0.872523017789234	14	0.997101449275362
39	0.0617452519920511	6.7018003927351	0.0471582580058331	0.82939545932413	0.873273046338749	39	0.87177255115632	38	1
40	-0.433269153256273	7.0138648148881	1.87796901127182	0.179718591955093	0.260905275266466	40	0.25743117120247	17	0.976645435244161
41	1.5326044501691	5.83630688570329	9.54633985895709	0.00404538067673765	0.0104877627557066	41	0.0101932925928914	Mixed	0.508571428571429
42	-0.547370447779185	6.86942697239491	3.39385348745473	0.0742671616778754	0.124284065258039	42	0.121772958177082	2	0.839024390243902
