logFC	logCPM	F	PValue	FDR	Nhood	SpatialFDR	seurat_clusters	seurat_clusters_fraction
1	0.970642573882455	6.38076062881918	8.27010064532958	0.0069433275457629	0.0250079918421613	1	0.0249182227917258	Mixed	0.381294964028777
2	-1.30050228769419	6.89748838257548	15.0727388439793	0.000458613566575707	0.00319098169417549	2	0.00320735018037264	7	0.860520094562648
3	-0.229727980768021	6.90700881642936	0.606619374030084	0.441506950365695	0.571953434518546	3	0.567179250571884	19	1
4	-0.545685468461807	6.88934948128164	3.76373532016041	0.0607945529830225	0.132081481261311	4	0.130750051112019	4	0.818396226415094
5	1.1602575173624	6.89107359416639	11.7294618211758	0.00166029716672652	0.00836497251135352	5	0.00837509843648499	3	0.729166666666667
6	-0.527268601751808	6.86882627071339	3.24586374669495	0.0805848433818112	0.162748862002575	6	0.161390840430698	10	1
7	0.137241192163212	6.96285334788859	0.263511907578961	0.611071988010782	0.723039781334599	7	0.718642189071305	10	1
8	-0.0991413593321525	6.62691033981233	0.115522079299358	0.73605547389778	0.820475629449774	8	0.817176372803632	31	0.770348837209302
9	-4.46677610462488	6.74940765595534	12.4974492902129	0.00138700086664489	0.00733229660787539	9	0.00735218410453387	16	1
10	0.259604857741764	6.53818481052209	0.381401357135071	0.541085552320949	0.662918963525042	10	0.658181701327699	28	0.805732484076433
11	-0.378834164101493	7.4815994911909	1.53018037469911	0.224649535440707	0.348751232573052	11	0.345421539982586	0	1
12	0.00234292828388059	6.90665371030381	7.13590685085528e-05	0.993309893575314	0.999165315251782	12	1	0	0.932203389830508
13	0.633103490351406	6.7855422655218	4.43903940815959	0.0426601627289202	0.100990890491771	13	0.100269802669286	Mixed	0.697368421052632
14	-0.735673921112439	6.40509884154596	2.88136626017074	0.0990070059555473	0.190000723634088	14	0.188691016321929	Mixed	0.661016949152542
15	1.13088188935727	6.64193283523398	12.6781464259507	0.00114644825069356	0.00633742954937297	15	0.00636770744858517	33	0.996904024767802
16	0.667138893212184	7.01781630364152	4.4192817855298	0.0432341975967822	0.102023296936047	16	0.101296770922485	11	1
17	2.52313208446527	6.55751471091177	59.8156552266545	5.76802241643724e-09	4.44735891353298e-07	17	5.01816866536737e-07	35	1
18	1.82965995940662	6.46591063629962	16.7152998799128	0.000260962559206169	0.00208150136304752	18	0.00209787848594003	Mixed	0.580985915492958
19	-0.682133061416847	6.97007340134792	3.07416498949881	0.0888152333130235	0.175078330399663	19	0.17360875545707	8	1
20	0.191800622603467	6.20223432774299	0.172966000774313	0.680156281109204	0.779192904475644	20	0.775384482185218	8	0.918032786885246
21	-0.726376004259183	7.18041129040865	5.72834104911567	0.0224203562232044	0.0612028143243311	21	0.0608126620145462	0	1
22	-0.943151520358983	6.80901002620064	10.2149993916528	0.00302549716052322	0.0131437395425235	22	0.0131267283691906	Mixed	0.5935960591133
23	-0.0769976772192197	6.74437001910372	0.0585494117265757	0.810275418025663	0.875732285748906	23	0.872981081208077	2	0.901098901098901
24	0.532485035948037	5.73396508464578	1.70730182228051	0.200196581785813	0.321036237838319	24	0.318112077756563	Mixed	0.623456790123457
25	1.4411006263898	6.8614439128885	20.7217969955061	6.83707952194731e-05	0.00073344090346238	25	0.000736386745990824	14	1
26	-0.831507476518799	7.04587538568477	6.14678710505745	0.0183446383719365	0.0524730257800184	26	0.0521669898609053	2	0.701646090534979
27	-3.74024632577596	7.44500696063167	20.5026516939745	7.33545625445671e-05	0.000773604500026746	27	0.000775182683514486	13	1
28	-0.417234441981557	6.79011359873536	1.4931696715332	0.230367653426154	0.355929479666445	28	0.352677865155549	Mixed	0.608465608465608
29	-2.83983275068711	7.05012990402697	12.9127174401601	0.00103188133433968	0.00590805985101306	29	0.00593293120324381	Mixed	0.568788501026694
30	-0.739350605064061	7.35039437731178	5.70799927476587	0.0226424698715806	0.061601011210999	30	0.0612383564397346	2	0.836700336700337
31	-0.902717286936385	7.14565351048774	10.2240733112156	0.00301413874805512	0.0131217775945235	31	0.0131083077986639	4	0.998073217726397
32	0.482473611411322	6.8881070307167	2.68634789268734	0.110529895485514	0.206073022050639	32	0.204312820141155	29	1
33	-0.432830821434527	6.91373739970636	2.20835339158283	0.146575638477084	0.255947965258843	33	0.253406126803814	9	0.973429951690821
34	0.175329198463963	6.66824560373538	0.296062970761816	0.589948917295441	0.705593275896616	34	0.700717221780263	1	0.835654596100279
35	-1.88616209267574	6.66186011222168	11.7448713525066	0.00165021417867154	0.00832626242646247	35	0.00833786578810343	13	1
36	-0.999408442867049	6.66495806016237	5.18175399589274	0.0294303164440624	0.0754346623654877	36	0.0750030369466446	8	1
37	-1.02484696394583	7.35963495198445	11.2548385872779	0.00197857382094366	0.00953553164609351	37	0.00951500585135573	4	1
38	0.0478057759262896	6.62472528437076	0.0137289198090713	0.907433981386499	0.943887310108131	38	0.943624466297772	14	0.997101449275362
39	-0.0857185869692408	6.7018003927351	0.0886776152653742	0.76769607529333	0.8445305905441	39	0.841084597698275	38	1
40	-1.07987655257517	7.0138648148881	12.299572116817	0.0013171788336603	0.00705925030260469	40	0.00708715308718691	17	0.976645435244161
41	1.30330119410884	5.83630688570329	6.8086714265321	0.0135218438811525	0.0418117973475685	41	0.0416134826148292	Mixed	0.508571428571429
42	-0.473426680309552	6.86942697239491	2.45067249031124	0.126832104610829	0.228837493805268	42	0.226692617564811	2	0.839024390243902
43	-0.688298188558416	7.47671727197887	5.07814206932956	0.0308610832037517	0.0782540840603779	43	0.0778109508218172	Mixed	0.587349397590361
44	-0.107118919437637	6.90702038365919	0.146982795430553	0.703847246073568	0.797468812929114	44	0.793714938785071	1	1
45	-0.374120977865728	6.9770493681495	1.69946211917264	0.201207644197351	0.322272726341902	45	0.319362802825692	1	1
46	0.347641936760643	6.76129868277381	1.06743941388197	0.30902437667236	0.442270691156688	46	0.438065858018368	26	0.831168831168831
47	0.633916192485976	6.51962687145343	3.62650802439174	0.0654452118630084	0.139622711679044	47	0.138300011268098	10	0.878289473684211
48	-4.46661263691712	7.31382759765604	31.5604393537364	2.7948690852445e-06	6.3825979138624e-05	48	6.47473186678701e-05	27	1
49	-0.00356571097480094	6.30320619850751	7.37630265088113e-05	0.99319822054122	0.999165315251782	49	1	8	0.912727272727273
50	-0.259414980294639	7.06474779642881	0.924994620731298	0.343028056197669	0.477158764795074	50	0.473235181229907	4	0.826359832635983
51	-1.71328175916621	6.57857533509178	20.1157161996345	8.05426733898999e-05	0.000827624785532818	51	0.00083023106734545	7	0.997005988023952
52	0.83219748769316	6.82886801235573	8.85428261019117	0.0053812160385538	0.0204875924452474	52	0.02044230509576	5	0.997340425531915
53	-0.120609223594592	7.06120147609304	0.166514461904044	0.685813373692131	0.783517880228448	53	0.779602803179091	Mixed	0.607142857142857
54	-0.322079487856204	6.67924438669878	0.891491362018856	0.351923831461079	0.486477445110009	54	0.482469748689837	3	0.954802259887006
55	-1.55829681619918	6.79409443214548	0.963691608224755	0.334362235022137	0.468422140557931	55	0.464784421032899	25	1
56	0.224172803905338	6.67496507371147	0.463898623387675	0.500525549548488	0.626348935471293	56	0.621489877376344	Mixed	0.61671469740634
57	-0.769292496302318	6.76512757624381	7.51388627864866	0.00972970482206268	0.032243393025422	57	0.0321497962510293	10	1
58	0.381920039715536	6.37278532715062	1.15233793331877	0.290710708295998	0.422922119168839	58	0.419158090962089	8	0.93448275862069
59	-6.90276315176734	7.18007954152106	60.9258374185557	1.14770257485558e-08	7.65797186004601e-07	59	8.32856865377435e-07	16	1
60	-4.82191158057945	6.95491151286651	27.773056536803	8.27766843415377e-06	0.000145054294160112	60	0.000144880995210729	20	1
61	1.38400178547051	6.65318714803701	17.3346950347912	0.000210518692275975	0.00174358222418006	61	0.00175931365173707	Mixed	0.566037735849057
62	0.283444024155283	6.665434556912	0.832427075246874	0.368062703111411	0.501560580764745	62	0.497328655767602	10	0.886297376093295
63	-0.559207895169222	6.99545961863583	2.84328892485171	0.101173798104609	0.192984801992097	63	0.19159317304009	38	1
64	-0.320019335417775	6.5840366024896	0.810298532295938	0.374543255821841	0.50756682070688	64	0.503128558153335	9	0.978260869565217
65	3.35727418706743	6.7556976222622	89.1827832328015	6.54169273406819e-11	1.44877616316842e-08	65	1.50803046773999e-08	33	1
66	0.0472943618297381	7.20845178059514	0.0234949055604385	0.879092667925243	0.924838183853742	66	0.924593263737535	3	0.953667953667954
